id,SalePrice
1461,119442.8073937025
1462,155079.2458256425
1463,178922.61092799128
1464,194933.42335559404
1465,200720.98814873066
1466,172306.6450795221
1467,184043.85794730234
1468,161679.43325875248
1469,187762.56472528214
1470,121227.18001719326
1471,195707.73217580313
1472,96932.23763374476
1473,96581.60785291252
1474,148041.17564808496
1475,114422.9611237864
1476,348294.14756955963
1477,243738.3711836461
1478,277719.3136460646
1479,272443.41341293405
1480,446301.61002498807
1481,311038.7920109184
1482,202843.36071107344
1483,168506.34806633403
1484,157914.23586970434
1485,182037.2456327765
1486,198066.97891352652
1487,330306.4936709567
1488,233731.46794747395
1489,192456.47145820613
1490,220047.97810784922
1491,191134.75939801693
1492,92065.13759265408
1493,182880.56671660967
1494,300757.4750263158
1495,297124.1752778585
1496,223295.62426069332
1497,185114.7490417736
1498,164263.39410721167
1499,159185.6453071978
1500,148937.34459962512
1501,172047.1182129196
1502,148460.46083798815
1503,271919.8453464637
1504,244370.85104114207
1505,222772.6495837764
1506,187065.5487758768
1507,248281.46595598824
1508,197003.96087904667
1509,157463.18293793238
1510,143624.719908242
1511,153859.80265565298
1512,179988.6668248201
1513,148995.31346175904
1514,155436.15035787277
1515,195689.60039622727
1516,152050.1236076975
1517,161300.8821487605
1518,132988.33577367448
1519,217856.41322131772
1520,129307.23087980517
1521,130760.20671445725
1522,179810.62722623008
1523,112984.78915563202
1524,123279.21645773744
1525,120643.15819451063
1526,107773.0510980939
1527,108679.46814694523
1528,143532.16399593174
1529,140577.89633731707
1530,193314.9322151797
1531,105350.4406281124
1532,100148.22226979407
1533,149345.78650851455
1534,125316.68832271289
1535,144635.45329919067
1536,104224.83915557053
1537,64309.33731139109
1538,146812.88746329423
1539,203881.1900973777
1540,89748.64699537634
1541,133974.50105183385
1542,137961.58579568728
1543,180704.49510078193
1544,83453.6737987338
1545,115033.60628723132
1546,132914.0413498485
1547,125210.68798046272
1548,140263.10834771657
1549,121823.69364113203
1550,132750.97391101113
1551,109333.13326207556
1552,135736.33438638633
1553,146075.08141307195
1554,119639.26247184354
1555,157517.12535264692
1556,88963.26458531624
1557,108921.61426078636
1558,99853.50095966907
1559,63855.22511700322
1560,136801.0934076963
1561,123324.59065010477
1562,131931.80128221243
1563,121914.41946396332
1564,158722.15764661238
1565,147983.48618981734
1566,244685.7471169448
1567,75186.55430621408
1568,234784.33042825668
1569,123702.07738046559
1570,136536.34712945455
1571,117746.45920358677
1572,140599.0575797459
1573,224716.6238391265
1574,125514.007673762
1575,229297.37900294954
1576,250762.3857139172
1577,177300.98985914735
1578,145683.5265529105
1579,138243.60836088154
1580,195535.50363162174
1581,154615.54253748083
1582,125545.8052568023
1583,298990.6534812099
1584,223791.44801051298
1585,133931.54913593322
1586,63224.51301928333
1587,100192.91479886606
1588,143486.4778056944
1589,99868.02181102626
1590,131781.49928707728
1591,95466.12236603502
1592,114845.68937665505
1593,127791.30308849325
1594,136756.36946913364
1595,110492.24637591964
1596,219840.3165079837
1597,183337.21612492463
1598,219837.492861703
1599,168779.9293492651
1600,163092.94031672785
1601,64289.73677885001
1602,115064.86688904754
1603,72916.72669976598
1604,253905.72930515546
1605,248677.57445153352
1606,168825.7403500532
1607,177542.97331481628
1608,204010.29349945838
1609,182194.73272245174
1610,145587.47266307284
1611,137296.40646547795
1612,164828.47806808472
1613,168323.32987439504
1614,120164.93462391506
1615,93066.66967261177
1616,81598.08026618251
1617,97004.09937908937
1618,127400.54082971063
1619,139430.20003809617
1620,166647.5265203457
1621,138794.5820089194
1622,141952.2862169088
1623,269473.83574466116
1624,208535.61658734462
1625,118611.59409626441
1626,172532.4628215679
1627,188216.43142701994
1628,265357.15804913733
1629,178427.37176081334
1630,336135.2615818597
1631,220385.81467838047
1632,240360.3380335135
1633,168543.72376077337
1634,185922.59550652775
1635,172998.4099978295
1636,154808.0200529243
1637,202530.29647086642
1638,183554.1095639289
1639,186475.1853714317
1640,250143.06340749704
1641,180636.56479446922
1642,242834.7202779254
1643,216469.90463712733
1644,231671.40421250727
1645,213991.55066678472
1646,163113.74165936423
1647,159407.7861487819
1648,129808.40938437093
1649,137346.67391941557
1650,115659.45061055977
1651,123186.39745146902
1652,97887.84454160326
1653,101704.18923949411
1654,148740.3836062178
1655,140577.7268615768
1656,140089.67512115245
1657,150862.96727303212
1658,145309.01520882917
1659,122812.82403509319
1660,156172.3362197206
1661,412242.04289094824
1662,402180.9471752969
1663,364056.1295622308
1664,389173.71055127465
1665,298537.9380708713
1666,311101.62683616084
1667,341840.8390952648
1668,338139.8832013097
1669,296316.8040636289
1670,341256.8868760449
1671,265095.6709576345
1672,419002.26221483183
1673,295609.4718398254
1674,241835.22014372304
1675,187409.85136143814
